,N_Days,Age,Bilirubin,Cholesterol,Albumin,Copper,Alk_Phos,SGOT,Tryglicerides,Platelets,Prothrombin
N_Days,1.0,-0.060569078645987005,-0.394799384582433,-0.12346079803090129,0.3688512083084102,-0.2813485359254647,0.1477916014221935,-0.22053184789702782,-0.14760599329434762,0.11590810857247055,-0.1499601942324871
Age,-0.060569078645987005,1.0,0.006081478243540213,-0.03593211113247736,-0.1088069776639911,0.006670221954452513,0.029575072858819867,0.011164871549483715,0.03071932509975783,-0.12361130495143448,0.042133909940882626
Bilirubin,-0.394799384582433,0.006081478243540213,1.0,0.3391062955366783,-0.2831046014921122,0.4321989446147496,0.11297204927002524,0.368024097534758,0.37977646194301123,-0.0951624661632281,0.25414535620261614
Cholesterol,-0.12346079803090129,-0.03593211113247736,0.3391062955366783,1.0,-0.06641785790857606,0.12922339990502102,0.11613134554789564,0.3224495377220649,0.24830495086940768,0.008834787352949574,0.006193952967812928
Albumin,0.3688512083084102,-0.1088069776639911,-0.2831046014921122,-0.06641785790857606,1.0,-0.17917122562414342,-0.12568616481345657,-0.16256860837537532,-0.11166128053677088,0.11866174800394105,-0.21585949550945743
Copper,-0.2813485359254647,0.006670221954452513,0.4321989446147496,0.12922339990502102,-0.17917122562414342,1.0,0.20077246506033794,0.281352818365565,0.2533577407838143,-0.07473012789087564,0.14134924770749252
Alk_Phos,0.1477916014221935,0.029575072858819867,0.11297204927002524,0.11613134554789564,-0.12568616481345657,0.20077246506033794,1.0,0.1517693298657188,0.1298738007918019,0.00792201083626805,0.07239239985161552
SGOT,-0.22053184789702782,0.011164871549483715,0.368024097534758,0.3224495377220649,-0.16256860837537532,0.281352818365565,0.1517693298657188,1.0,0.1221727879761964,-0.09375150076022441,0.13320988214618396
Tryglicerides,-0.14760599329434762,0.03071932509975783,0.37977646194301123,0.24830495086940768,-0.11166128053677088,0.2533577407838143,0.1298738007918019,0.1221727879761964,1.0,-0.020636396273018366,0.02721082389699933
Platelets,0.11590810857247055,-0.12361130495143448,-0.0951624661632281,0.008834787352949574,0.11866174800394105,-0.07473012789087564,0.00792201083626805,-0.09375150076022441,-0.020636396273018366,1.0,-0.15635601342430575
Prothrombin,-0.1499601942324871,0.042133909940882626,0.25414535620261614,0.006193952967812928,-0.21585949550945743,0.14134924770749252,0.07239239985161552,0.13320988214618396,0.02721082389699933,-0.15635601342430575,1.0
