feature,importance
Prothrombin,16.43258291538321
Albumin,13.189807252889265
Platelets,12.110864300450265
Age,10.097203084368218
N_Days,9.222849591617377
Hepatomegaly_Y,8.773106564751336
Bilirubin,5.896472616390465
Copper,3.2237947613001268
Cholesterol,3.0318188603827805
Tryglicerides,2.9566891621877556
SGOT,2.930694127421284
Edema_S,2.646192989303211
Alk_Phos,2.304436544343296
Status_D,2.196622565326487
Drug_Placebo,1.8067228947246983
Spiders_Y,1.1579360552494962
Ascites_Y,1.0741572635184198
Status_CL,0.42082793676361463
Sex_M,0.3716415001349916
Edema_Y,0.155579013493725
