feature,importance
Prothrombin,0.1358427987043809
Platelets,0.11201585874703028
N_Days,0.10776843369683077
Albumin,0.10535610835690819
Age,0.0846294172760239
Bilirubin,0.07547418246784836
SGOT,0.050054282183547974
Alk_Phos,0.04961362153705213
Copper,0.04903368857445159
Hepatomegaly_Y,0.04777190056904482
Cholesterol,0.04533943224556472
Tryglicerides,0.044447459924497015
Edema_S,0.01766020561076811
Status_D,0.017483527861152513
Spiders_Y,0.014426311165466613
Ascites_Y,0.014070159498058721
Drug_Placebo,0.012285733691843909
Sex_M,0.007449957695368868
Status_CL,0.0050325487619929075
Edema_Y,0.004244371432167626
