iter	MultiClass
0	0.897114998
1	0.7994628368
2	0.7373451268
3	0.6847032529
4	0.6460946473
5	0.6101379156
6	0.5789833225
7	0.5636231263
8	0.5480886913
9	0.5352241463
10	0.5143088347
11	0.4873563262
12	0.4760331944
13	0.4656348677
14	0.4546252816
15	0.4447252465
16	0.4361252
17	0.4258228645
18	0.4172356062
19	0.408166315
20	0.3918133234
21	0.3786491098
22	0.3721270347
23	0.3647070905
24	0.3565882179
25	0.3479441934
26	0.3399259655
27	0.3319201035
28	0.3279156976
29	0.3213326675
30	0.3170924851
31	0.3106416234
32	0.305898425
33	0.3007416624
34	0.2989357068
35	0.2949637742
36	0.2867357253
37	0.2829120382
38	0.2789501093
39	0.2771211083
40	0.2740483739
41	0.2679783297
42	0.263748821
43	0.2620558978
44	0.2597556094
45	0.2564318501
46	0.253100119
47	0.2501677312
48	0.2455130499
49	0.2411873584
50	0.2373460186
51	0.2347867161
52	0.2316341878
53	0.2282633291
54	0.2247010058
55	0.2217427219
56	0.2199994275
57	0.2178330935
58	0.2159036482
59	0.2128799961
60	0.2104705856
61	0.2081401271
62	0.2064563345
63	0.2052612901
64	0.2041294186
65	0.2027840689
66	0.2008075661
67	0.199207985
68	0.1969090494
69	0.19477098
70	0.1935291039
71	0.1915393333
72	0.1896821402
73	0.1881497107
74	0.1868875075
75	0.1851864328
76	0.1820183198
77	0.1816461041
78	0.1797991584
79	0.178533697
80	0.1776817665
81	0.1759181328
82	0.1754290723
83	0.1746029913
84	0.1732255629
85	0.1721212261
86	0.1715562426
87	0.1706386667
88	0.1698520669
89	0.1683245763
90	0.1677377664
91	0.1669967111
92	0.1663149581
93	0.1643692883
94	0.1637227164
95	0.1626830386
96	0.1615828
97	0.1606474735
98	0.1597513904
99	0.1584439143
