iter	Passed	Remaining
0	7	758
1	15	768
2	22	732
3	29	715
4	37	703
5	43	686
6	50	676
7	57	666
8	64	656
9	71	642
10	78	633
11	85	628
12	92	621
13	99	610
14	106	602
15	113	596
16	120	588
17	127	578
18	133	571
19	141	565
20	148	559
21	155	552
22	162	544
23	169	537
24	176	530
25	183	522
26	190	516
27	197	508
28	204	500
29	211	493
30	218	486
31	225	479
32	232	471
33	239	464
34	245	456
35	252	449
36	259	442
37	266	435
38	274	428
39	280	421
40	287	414
41	295	407
42	302	400
43	309	393
44	315	385
45	322	378
46	329	371
47	336	364
48	343	357
49	350	350
50	357	343
51	364	336
52	372	329
53	379	323
54	386	316
55	393	309
56	401	302
57	409	296
58	417	289
59	424	283
60	432	276
61	439	269
62	448	263
63	456	256
64	464	250
65	471	242
66	479	236
67	486	229
68	494	222
69	501	214
70	509	208
71	517	201
72	524	194
73	531	186
74	539	179
75	546	172
76	554	165
77	561	158
78	569	151
79	577	144
80	585	137
81	592	130
82	600	122
83	607	115
84	614	108
85	621	101
86	628	93
87	635	86
88	642	79
89	649	72
90	656	64
91	663	57
92	670	50
93	677	43
94	684	36
95	690	28
96	697	21
97	705	14
98	712	7
99	719	0
